site.name,depth,age,age.old,age.young,date.type,calendar.ybp,lat,long,dataset,AMBROSIA,APIACEAE,ARTEMISIA,ASTERCICHO,ASTERX,CHENOAMX,CUPRESSA,CYPERACE,ERIOGONUM,FABACEAE,LAMIACEAE,Other,PINUSX,POACEAE,POLYPOD,QUERCUS,SELAGINE,ABIES,ACNEGUNA,ACSACRUM,ALNUSX,ARCEUTHOBI,BETULA,BRASSICACEAE,CARYA,CASTANEA,CORYLUS,EPHEDRA,FRAXNIGR,FRAXPNAM,IVA,JUGLANSX,JUGNIGRA,LARIXPSEU,MYRICACX,OSTRYCAR,PICEAX,PLANTAGINX,PLATANUS,POLYGONAX,POPULUS,ROSACEAX,RUMEX,SALIX,SARCOBATUS,THALICTRUM,TILIA,TSUGAX,ULMUS,URTICACX,XANTHIUM,ACERX,ALRUGOSA,CARYOPHYLL,ERICACEX,EUPHORB,FAGUS,FRAXINUX,NYSSA,RUBIACEAE,SANGUI,SHEPHERDIA,LILIACEAE,ONAGRACEAE,POLYGONMX,RANUNCUL,BORAGINACEAE,CORNUS,TAXUS,CACTACEAE,CAMPANULACEA,RHAMNACEAE,CAPRIFOLIA,POLEMONI,SCROPHUL,CHRYSOLEP,TSUGMERT,ACRUBRUM,MALVACEAE,PEDICULARI,RUBUS,ALNUS,LIQUIDAM,ACSACNUM,RUMEOXYR,ERIVACCI,ELAEAGNX,PROSOPIS,DRYAS,DODECATH,TSUGHETE,POLYGVIV,POLYGBIS,ERICALES,TAXODIUM,AQUIFOLI,ACPENSYL,ARMERIA,PICMARIA,ALRUBRA,pollensum,ambrosia.proportion,artemisia.proportion,ambtoart,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
Round Grove Lake,100,273,NA,NA,Calendar years BP,273,44.709,-94.4935,10983,24,1,28,0,14,5,4,41.5,0,2,0,27.5,35.5,52,0,66,0,0,0,1,1,0,15,0,1,0,0,0,3,1,1,0,2,0,0,2,1,0,1,0,3,1,0,7,0,3,1,0,13,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.5,0.064952639,0.075778078,0.857142857,9.2,TEMPERATE PRAIRIES,9,GREAT PLAINS,9.2  TEMPERATE PRAIRIES,9  GREAT PLAINS,12510738.52,7.51238E+11
Round Grove Lake,119,330,NA,NA,Calendar years BP,330,44.709,-94.4935,10983,31,0,26,0,20,9,5,40.5,0,0,0,38,23.5,52,0,42,0,0.5,0,1,0,0,10,0,1,0,0,0,3,0,1,0,2,0,0,4,2,0,0,0,6,0,1,8,0,0,0,0,17,7,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.5,0.086471409,0.072524407,1.192307692,9.2,TEMPERATE PRAIRIES,9,GREAT PLAINS,9.2  TEMPERATE PRAIRIES,9  GREAT PLAINS,12510738.52,7.51238E+11
Last Lake,50,270,NA,NA,Calendar years BP,270,45.45,-95.24005,12004,25,0,18,0,5,2,4,13,0,2,1,13,35,32,1,101,0,0,0,2,2,0,16,0,0,0,4,0,0,5,5,1,0,0,0,15,2,0,2,0,3,1,0,1,0,1,4,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0.077639752,0.055900621,1.388888889,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Last Lake,60,330,NA,NA,Calendar years BP,330,45.45,-95.24005,12004,16,0,23,0,9,3,1,12,0,2,0,14,34,40,0,100,0,0,0,1,1,0,13,0,1,0,2,0,1,2,0,0,0,1,0,13,4.5,1,1,0,10,0,0,1,0,1,5,1,4,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.5,0.048558422,0.069802731,0.695652174,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Last Lake,70,390,NA,NA,Calendar years BP,390,45.45,-95.24005,12004,15,0,38,0,14,4,2,20,0,4,2,13,34,56,0,63,0,0,0,1,3,0,21,0,1,0,5,0,2,5,2,0,2,0,0,20,1,0,0,0,4,1,0,5,0,1,1,0,9,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0.042016807,0.106442577,0.394736842,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Last Lake,80,450,NA,NA,Calendar years BP,450,45.45,-95.24005,12004,16,0,27,0,9,7,4,26,0,1,0,21,43.5,59,2,65,0,0.5,0,1,1,0,11,0,0,0,1,1,2,4,1,0,0,0,0,14,1.5,0,3,1,5,0,1,6,1,1,2,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.5,0.045911047,0.077474892,0.592592593,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Cottonwood Lake,100,420,NA,NA,Calendar years BP,420,44.6173,-95.68015,12005,13,1,15,0,11,15,0,49,0,0,0,54,25,34,0,9,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0.052,0.06,0.866666667,9.2,TEMPERATE PRAIRIES,9,GREAT PLAINS,9.2  TEMPERATE PRAIRIES,9  GREAT PLAINS,12510738.52,7.51238E+11
Deans Lake,120,257,NA,NA,Calendar years BP,257,44.77528,-93.44692,12007,17,0,24,0,8,3,2,26,0,0,0,251,49,54,6,143,0,0,0,0,10,0,18,1,2,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,2,1,0,4,0,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0.026771654,0.037795276,0.708333333,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Chub Lake,240,288,NA,NA,Calendar years BP,288,44.5635,-93.218805,12010,11,0,8,0,6,3,0,12,0,2,0,13,26,63,0,129,0,0,1,0,3,0,13,0,3,0,6,0,4,2,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0.034700315,0.025236593,1.375,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Chub Lake,260,368,NA,NA,Calendar years BP,368,44.5635,-93.218805,12010,16,0,10,0,6,3,0,10,0,0,0,17,19,81,0,117,0,0,0,1,4,0,8,0,1,0,6,0,3,2,1,0,0,0,0,6,0,0,1,0,6,0,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0.049079755,0.030674847,1.6,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
