".id","site.name","depth","age","age.old","age.young","date.type","lat","long","dataset","ACRUBRUM","ACSACRUM","AMBROSIA","APIACEAE","ARTEMISIA","ASTERX","BETULA","CARYA","CHENOAMX","CUPRESSA","CYPERACE","FAGUS","FRAXINUX","FRAXNIGR","IVA","JUGLANSX","LAMIACEAE","LIQUIDAM","NYSSA","ONAGRACEAE","OSTRYCAR","Other","PINUSX","PLANTAGINX","PLATANUS","POACEAE","POLYGONMX","POLYPOD","QUERCUS","RUBIACEAE","RUBUS","SALIX","ULMUS","ABIES","ALNUSX","FRAXPNAM","PICEAX","SPHAGNUM","BRASSICACEAE","POPULUS","TSUGAX","ASTERCICHO","ACERX","CORYLUS","EQUISETU","RANUNCUL","ROSACEAX","THALICTRUM","TILIA","RUMEX","ALRUGOSA","LYCOPODX","POLYGONAX","JUGNIGRA","MYRICACX","URTICACX","RHAMNACEAE","FABACEAE","ERICACEX","LARIXPSEU","SARCOBATUS","EPHEDRA","CARYOPHYLL","SELAGINE","ACNEGUNA","XANTHIUM","CORNUS","LILIACEAE","ACSACNUM","EUPHORB","MALVACEAE","BORAGINACEAE","CASTANEA","ELAEAGNX","RUMEOXYR","PTERIDIUM","CAPRIFOLIA","SHEPHERDIA","ERIVACCI","AQUIFOLI","ARCEUTHOBI","SCROPHUL","MAGNOLIACE","CAMPANULACEA","ERIOGONUM","TAXODIUM","CACTACEAE","LARREA","POLEMONI","ACPENSYL","SANGUI","PROSOPIS","PEDICULARI","ANACARDI","TAXUS","optional"
"654","Site 75 (Delcourt  et al. 1983)",0,NA,NA,NA,NA,30.47,-90.42,654,NA,NA,13,1,NA,1,NA,5,2,5,6,1,7,2,NA,NA,NA,10,2,NA,8,9,141,NA,NA,134,NA,NA,85,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,43,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"662","Site 83 (Delcourt  et al. 1983)",0,NA,NA,NA,NA,35.78,-93.8,662,NA,NA,127,1,NA,10,3,23,2,4,5,NA,12,6,NA,14,NA,12,1,NA,10,27,73,20,NA,30,NA,NA,150,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"666","Site 87 (Delcourt  et al. 1983)",0,NA,NA,NA,NA,34.73,-94.07,666,NA,1,15,NA,NA,13,NA,24,3,1,1,NA,4,2,NA,NA,NA,3,1,NA,10,10,117,NA,NA,84,NA,NA,119,NA,NA,1,22,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"947","Lake Girardeau",0,NA,NA,NA,NA,37.28,-89.83,947,NA,NA,78,NA,4,19,3,14,5,NA,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,5,NA,1,4,5,1,NA,172,NA,NA,2,17,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"1321","JHMN38 (McAndrews and Wright 1969)",0,NA,NA,NA,NA,47.966667,-102.7,1321,NA,NA,11,4,98,6,8,NA,58,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64,35,NA,NA,110,NA,NA,13,NA,NA,1,2,NA,4,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2079","Weirdale",0,NA,NA,NA,NA,53.479167,-105.255556,2079,NA,NA,2,NA,3,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,41,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2538","Breaults Lake [V. Lake]",0,NA,NA,NA,NA,49.3955,-99.2865,2538,NA,NA,NA,NA,84,90,36,NA,144,NA,19,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,8,154,NA,NA,50,NA,NA,324,NA,NA,6,6,NA,24,NA,42,NA,2,NA,NA,2,4,4,2,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2689","Marsh Miller",0,NA,NA,NA,NA,45.141111,-91.392778,2689,NA,1,77,NA,5,NA,24,1,13,7,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,6,60,NA,1,26,NA,NA,57,NA,NA,NA,12,2,NA,4,3,14,NA,11,4,NA,NA,2,NA,NA,NA,NA,1,5,6,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2915","Boriak Bog Surface Sample 2",0,NA,NA,NA,NA,30.25,-96.98,2915,NA,NA,NA,NA,NA,35,NA,2,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,7,NA,NA,100,NA,NA,40,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"3145","Bog A Pond",0,NA,NA,NA,NA,47.17548,-95.167455,3145,2,2,5,NA,7,3,49,NA,4,NA,11,NA,NA,2,NA,1,NA,NA,NA,NA,8,6,184,NA,NA,9,NA,NA,24,NA,NA,1,2,5,12,NA,2,NA,NA,5,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
